# E [eV],    flux [erg/cm2/s]
2.49609e+10, 1.86032e-11
4.00627e+10, 6.69025e-12
6.29632e+10, 1.78908e-12
1.00000e+11, 9.00904e-13
1.57162e+11, 5.70342e-13
2.50925e+11, 3.99449e-13
3.96436e+11, 3.03297e-13
6.29632e+11, 2.38177e-13
1.00000e+12, 1.87038e-13
1.57990e+12, 1.70327e-13
2.49609e+12, 1.58275e-13
3.96436e+12, 1.63804e-13
6.26331e+12, 2.18951e-13
9.94757e+12, 2.79192e-13
1.57162e+13, 4.18439e-13
2.46998e+13, 6.84494e-13
3.94358e+13, 1.15030e-12
6.23047e+13, 1.77108e-12
9.89541e+13, 2.93650e-12
1.57162e+14, 5.53321e-12
